local_id,group_name,group_description,group_membership_rule,group_membership_rule_name
jobfamily_connected_care,Inherited - JobFamily - Connected Care,Managed by Workday - Employees in the Connected Care JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""JOB_FAMILY-3-107"")",JobFam - Connected Care
jobfamily_consumer_marketing,Inherited - JobFamily - Consumer Marketing,Managed by Workday - Employees in the Consumer Marketing JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Consumer Marketing"")",JobFam - Consumer Marketing
jobfamily_copywriting,Inherited - JobFamily - Copywriting,Managed by Workday - Employees in the Copywriting JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Copywriting"")",JobFam - Copywriting
jobfamily_corporate_communications_marketing,Inherited - JobFamily - Corporate Communications & Marketing,Managed by Workday - Employees in the Corporate Communications & Marketing JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Corporate Marketing"")",JobFam - Corporate Communications & Marketing
jobfamily_corporate_development,Inherited - JobFamily - Corporate Development,Managed by Workday - Employees in the Corporate Development JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Corporate Development"")",JobFam - Corporate Development
jobfamily_creative_services,Inherited - JobFamily - Creative Services,Managed by Workday - Employees in the Creative Services JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Creative Services"")",JobFam - Creative Services
jobfamily_customer_insights_analytics,Inherited - JobFamily - Customer Insights Analytics,Managed by Workday - Employees in the Customer Insights Analytics JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Customer Insights Analytics"")",JobFam - Customer Insights Analytics
jobfamily_data_engineering,Inherited - JobFamily - Data Engineering,Managed by Workday - Employees in the Data Engineering JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Data Engineering"")",JobFam - Data Engineering
jobfamily_data_science,Inherited - JobFamily - Data Science,Managed by Workday - Employees in the Data Science JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Data Science"")",JobFam - Data Science
jobfamily_delivery_management,Inherited - JobFamily - Delivery Management,Managed by Workday - Employees in the Delivery Management JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Delivery Management"")",JobFam - Delivery Management
jobfamily_demand_generation,Inherited - JobFamily - Demand Generation,Managed by Workday - Employees in the Demand Generation JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Demand Generation"")",JobFam - Demand Generation
jobfamily_design,Inherited - JobFamily - Design,Managed by Workday - Employees in the Design JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Design"")",JobFam - Design
jobfamily_education_training,Inherited - JobFamily - Education & Training,Managed by Workday - Employees in the Education & Training JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Education & Training"")",JobFam - Education & Training
jobfamily_email_marketing,Inherited - JobFamily - Email Marketing,Managed by Workday - Employees in the Email Marketing JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Social Media & Corporate Communicatons"")",JobFam - Email Marketing
jobfamily_employment_brand_communications,Inherited - JobFamily - Employment Brand & Communications,Managed by Workday - Employees in the Employment Brand & Communications JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Employment Brand & Communications"")",JobFam - Employment Brand & Communications
jobfamily_events_coordination,Inherited - JobFamily - Events Coordination,Managed by Workday - Employees in the Events Coordination JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Events Coordination"")",JobFam - Events Coordination
jobfamily_executive,Inherited - JobFamily - Executive,Managed by Workday - Employees in the Executive JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Executive"")",JobFam - Executive
jobfamily_financial_planning_analysis,Inherited - JobFamily - Financial Planning & Analysis,Managed by Workday - Employees in the Financial Planning & Analysis JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Financial Planning & Analysis"")",JobFam - Financial Planning & Analysis
jobfamily_governance_risk_compliance,"Inherited - JobFamily - Governance, Risk & Compliance","Managed by Workday - Employees in the Governance, Risk & Compliance JobFamily","isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""JOB_FAMILY-3-139"")","JobFam - Governance, Risk & Compliance"
jobfamily_graphic_design,Inherited - JobFamily - Graphic Design,Managed by Workday - Employees in the Graphic Design JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""JOB_FAMILY-3-141"")",JobFam - Graphic Design
jobfamily_gtm_enablement,Inherited - JobFamily - GTM Enablement,Managed by Workday - Employees in the GTM Enablement JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Sales Enablement"")",JobFam - GTM Enablement
jobfamily_gtm_operations,Inherited - JobFamily - GTM Operations,Managed by Workday - Employees in the GTM Operations JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Sales Operations"")",JobFam - GTM Operations
